src	trg	nij
Missy_Elliott	Avril_Lavigne	2
Missy_Elliott	Boys_Like_Girls	1
Missy_Elliott	Britney_Spears	4
Missy_Elliott	Chris_Brown	2
Missy_Elliott	Demi_Lovato	1
Missy_Elliott	Iyaz	1
Missy_Elliott	Jason_Derulo	1
Missy_Elliott	Jesse_McCartney	1
Missy_Elliott	Jonas_Brothers	1
Missy_Elliott	Justin_Bieber	1
Missy_Elliott	Justin_Timberlake	2
Missy_Elliott	Kesha	1
Missy_Elliott	Miley_Cyrus	1
Missy_Elliott	Ne-Yo	1
Missy_Elliott	Nelly_Furtado	3
Missy_Elliott	Omarion	1
Missy_Elliott	OutKast	2
Missy_Elliott	Shaggy	2
Missy_Elliott	Sheryl_Crow	1
Missy_Elliott	The_All-American_Rejects	1
Missy_Elliott	The_Black_Eyed_Peas	2
Missy_Elliott	The_Killers	1
Missy_Elliott	The_Pussycat_Dolls	1
Missy_Elliott	Usher	2
Missy_Elliott	blink-182	2
Missy_Elliott	Aerosmith	1
Missy_Elliott	Amy_Winehouse	1
Missy_Elliott	Beastie_Boys	1
Missy_Elliott	Bright_Eyes	1
Missy_Elliott	Caribou	1
Missy_Elliott	Carly_Rae_Jepsen	1
Missy_Elliott	Fiona_Apple	1
Missy_Elliott	Fugees	1
Missy_Elliott	Grimes	1
Missy_Elliott	Lana_Del_Rey	2
Missy_Elliott	Mike_WiLL_Made-It	1
Missy_Elliott	Natasha_Bedingfield	1
Missy_Elliott	Selena	1
Missy_Elliott	Sevyn_Streeter	1
Missy_Elliott	Shakira	2
Missy_Elliott	Sugar_Ray	1
Missy_Elliott	Tame_Impala	1
Missy_Elliott	The_National	1
Missy_Elliott	The_Smiths	1
Missy_Elliott	50_Cent	3
Missy_Elliott	Busta_Rhymes	2
Missy_Elliott	DJ_Khaled	2
Missy_Elliott	David_Bowie	1
Missy_Elliott	Ed_Sheeran	1
Missy_Elliott	Fergie	1
Missy_Elliott	Icona_Pop	1
Missy_Elliott	Jessie_J	1
Missy_Elliott	Lady_Gaga	1
Missy_Elliott	Martin_Solveig	1
Missy_Elliott	Meghan_Trainor	1
Missy_Elliott	Mos_Def	1
Missy_Elliott	Rihanna	2
Missy_Elliott	Sia	1
Missy_Elliott	The_Chainsmokers	1
Missy_Elliott	Big_Sean	1
Missy_Elliott	Bon_Iver	1
Missy_Elliott	Cash_Cash	1
Missy_Elliott	Disclosure	1
Missy_Elliott	Fall_Out_Boy	1
Missy_Elliott	Gwen_Stefani	1
Missy_Elliott	Hoodie_Allen	1
Missy_Elliott	Jeremih	2
Missy_Elliott	Kanye_West	2
Missy_Elliott	Kygo	1
Missy_Elliott	Luke_Bryan	1
Missy_Elliott	Miguel	1
Missy_Elliott	Mike_Posner	1
Missy_Elliott	Nicki_Minaj	1
Missy_Elliott	Rae_Sremmurd	1
Missy_Elliott	Sam_Hunt	1
Missy_Elliott	Sufjan_Stevens	1
Missy_Elliott	The_Weeknd	1
Missy_Elliott	Tove_Lo	1
Missy_Elliott	Yellow_Claw	1
Missy_Elliott	ZAYN	1
Missy_Elliott	alt-J	1
Missy_Elliott	21_Savage	1
Missy_Elliott	Charly_Black	1
Missy_Elliott	Chief_Keef	1
Missy_Elliott	Drake	1
Missy_Elliott	French_Montana	1
Missy_Elliott	Future	1
Missy_Elliott	JAY_Z	3
Missy_Elliott	J_Balvin	1
Missy_Elliott	Jamie_Foxx	1
Missy_Elliott	Kodak_Black	1
Missy_Elliott	Lil_Uzi_Vert	1
Missy_Elliott	Luis_Fonsi	1
Missy_Elliott	Migos	1
Missy_Elliott	PARTYNEXTDOOR	1
Missy_Elliott	Prince_Royce	1
Missy_Elliott	Sean_Paul	3
Missy_Elliott	Trey_Songz	1
Missy_Elliott	Yo_Gotti	1
Missy_Elliott	Alicia_Keys	1
Missy_Elliott	Chingy	2
Missy_Elliott	Christina_Aguilera	1
Missy_Elliott	Eminem	1
Missy_Elliott	Enrique_Iglesias	1
Missy_Elliott	Jennifer_Lopez	1
Missy_Elliott	Kelly_Clarkson	1
Missy_Elliott	Linkin_Park	1
Missy_Elliott	Michelle_Branch	1
Missy_Elliott	Nelly	2
Missy_Elliott	No_Doubt	1
Missy_Elliott	Ricky_Martin	1
Missy_Elliott	Santana	1
Missy_Elliott	Train	1
Missy_Elliott	2Pac	1
Missy_Elliott	Bone_Thugs-N-Harmony	1
Missy_Elliott	Bubba_Sparxxx	1
Missy_Elliott	David_Banner	1
Missy_Elliott	Fabolous	1
Missy_Elliott	Fat_Joe	1
Missy_Elliott	Ja_Rule	1
Missy_Elliott	Lil_Jon	1
Missy_Elliott	Ludacris	1
Missy_Elliott	Mike_Jones	1
Missy_Elliott	Pitbull	1
Missy_Elliott	Soulja_Boy	1
Missy_Elliott	Three_6_Mafia	1
Missy_Elliott	Trick_Daddy	1
Missy_Elliott	Trina	1
Missy_Elliott	Twista	1
Missy_Elliott	Ying_Yang_Twins	1
Britney_Spears	Avril_Lavigne	3
Britney_Spears	Boys_Like_Girls	1
Britney_Spears	Chris_Brown	8
Britney_Spears	Demi_Lovato	6
Britney_Spears	Iyaz	4
Britney_Spears	Jason_Derulo	8
Britney_Spears	Jesse_McCartney	5
Britney_Spears	Jonas_Brothers	3
