pg_id,title,authors,download_count,languages,subjects,bookshelves,chosen_mime,text_url
1513,Romeo and Juliet,"['Shakespeare, William']",87684,['en'],"['Conflict of generations -- Drama', 'Juliet (Fictitious character) -- Drama', 'Romeo (Fictitious character) -- Drama', 'Tragedies (Drama)', 'Vendetta -- Drama', 'Verona (Italy) -- Drama', 'Youth -- Drama']","['Category: British Literature', 'Category: Classics of Literature', 'Category: Plays/Films/Dramas', 'Category: Romance']",text/html,https://www.gutenberg.org/ebooks/1513.html.images
1342,Pride and Prejudice,"['Austen, Jane']",76463,['en'],"['Courtship -- Fiction', 'Domestic fiction', 'England -- Fiction', 'Love stories', 'Sisters -- Fiction', 'Social classes -- Fiction', 'Young women -- Fiction']","['Best Books Ever Listings', 'Category: British Literature', 'Category: Classics of Literature', 'Category: Novels', 'Category: Romance', 'Harvard Classics']",text/html,https://www.gutenberg.org/ebooks/1342.html.images
2641,A Room with a View,"['Forster, E. M. (Edward Morgan)']",57628,['en'],"['British -- Italy -- Fiction', 'England -- Fiction', 'Florence (Italy) -- Fiction', 'Humorous stories', 'Young women -- Fiction']","['Category: British Literature', 'Category: Novels', 'Category: Romance', 'Italy']",text/html,https://www.gutenberg.org/ebooks/2641.html.images
67979,The Blue Castle: a novel,"['Montgomery, L. M. (Lucy Maud)']",47359,['en'],"['Canada -- History -- 1914-1945 -- Fiction', 'Choice (Psychology) -- Fiction', 'Love -- Fiction', 'Romance fiction', 'Self-actualization (Psychology) -- Fiction', 'Single women -- Fiction', 'Young adult fiction']","['Category: Novels', 'Category: Romance']",text/html,https://www.gutenberg.org/ebooks/67979.html.images
1260,Jane Eyre: An Autobiography,"['Brontë, Charlotte']",41093,['en'],"['Bildungsromans', 'Charity-schools -- Fiction', 'Country homes -- Fiction', 'England -- Fiction', 'Fathers and daughters -- Fiction', 'Governesses -- Fiction', 'Love stories', 'Married people -- Fiction', 'Mentally ill women -- Fiction', 'Orphans -- Fiction', 'Young women -- Fiction']","['Category: British Literature', 'Category: Classics of Literature', 'Category: Novels', 'Category: Romance']",text/html,https://www.gutenberg.org/ebooks/1260.html.images
161,Sense and Sensibility,"['Austen, Jane']",14167,['en'],"['Domestic fiction', 'England -- Fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'Gentry -- England -- Fiction', 'Inheritance and succession -- Fiction', 'Love stories', 'Mate selection -- Fiction', 'Regency fiction', 'Sisters -- Fiction', 'Social classes -- Fiction', 'Young women -- Fiction']","['Category: British Literature', 'Category: Classics of Literature', 'Category: Novels', 'Category: Romance']",text/plain; charset=utf-8,https://www.gutenberg.org/files/161/161-0.txt
996,Don Quixote,"['Cervantes Saavedra, Miguel de']",13022,['en'],"['Knights and knighthood -- Spain -- Fiction', 'Picaresque literature', 'Romances', 'Spain -- Social life and customs -- 16th century -- Fiction']","['Best Books Ever Listings', 'Category: Classics of Literature', 'Category: Novels', 'Harvard Classics']",text/html,https://www.gutenberg.org/ebooks/996.html.images
1251,Le Morte d'Arthur: Volume 1,"['Malory, Thomas, Sir']",12560,['en'],"['Arthur, King -- Legends', 'Arthurian romances']","['Arthurian Legends', 'Category: British Literature', 'Category: Classics of Literature', 'Category: Historical Novels', 'Category: Mythology, Legends & Folklore', 'Fantasy']",text/plain; charset=utf-8,https://www.gutenberg.org/files/1251/1251-0.txt
2527,The Sorrows of Young Werther,"['Goethe, Johann Wolfgang von']",9402,['en'],"['Germany -- Social life and customs -- Fiction', 'Unrequited love -- Fiction', 'Young men -- Germany -- Fiction']","[""Banned Books from Anne Haight's list"", 'Category: Classics of Literature', 'Category: German Literature', 'Category: Novels', 'Category: Romance', 'Harvard Classics', 'Opera']",text/html,https://www.gutenberg.org/ebooks/2527.html.images
3011,The Lady of the Lake,"['Scott, Walter']",7428,['en'],"['Arthurian romances', 'Lady of the Lake (Legendary character) -- Romances']","['Category: Adventure', 'Category: British Literature', 'Category: Historical Novels', 'Category: Poetry', 'Category: Romance']",text/html,https://www.gutenberg.org/ebooks/3011.html.images
5921,"The History of Don Quixote, Volume 1, Complete","['Cervantes Saavedra, Miguel de']",6761,['en'],"['Knights and knighthood -- Spain -- Fiction', 'Picaresque literature', 'Romances', 'Spain -- Social life and customs -- 16th century -- Fiction']","['6 Best Loved Spanish Literary Classics', ""Banned Books from Anne Haight's list"", 'Best Books Ever Listings', 'Category: Classics of Literature', 'Category: Novels']",text/html,https://www.gutenberg.org/ebooks/5921.html.images
14852,The Younger Set,"['Chambers, Robert W. (Robert William)']",6567,['en'],['Fiction'],"['Bestsellers, American, 1895-1923', 'Category: American Literature', 'Category: Novels', 'Category: Romance']",text/html,https://www.gutenberg.org/ebooks/14852.html.images
1514,A Midsummer Night's Dream,"['Shakespeare, William']",6050,['en'],"['Athens (Greece) -- Drama', 'Comedy plays', 'Courtship -- Drama', 'Fairy plays']","['Category: British Literature', 'Category: Classics of Literature', 'Category: Humour', 'Category: Plays/Films/Dramas', 'Category: Romance', 'Category: Science-Fiction & Fantasy']",text/html,https://www.gutenberg.org/ebooks/1514.html.images
14568,Sir Gawayne and the Green Knight: An Alliterative Romance-Poem (c. 1360 A.D.),[],5350,"['en', 'enm']","['Arthurian romances', 'Gawain (Legendary character) -- Romances']","['Category: British Literature', 'Category: Classics of Literature', 'Category: Mythology, Legends & Folklore', 'Category: Poetry', 'Early English Text Society', 'Poetry']",text/html,https://www.gutenberg.org/ebooks/14568.html.images
2610,Notre-Dame de Paris,"['Hugo, Victor']",5312,['en'],"['Clergy -- Fiction', 'France -- History -- Louis XI, 1461-1483 -- Fiction', 'Historical fiction', 'Notre-Dame de Paris (Cathedral) -- Fiction', 'Paris (France) -- History -- To 1515 -- Fiction', 'People with disabilities -- Fiction', 'Romances']","[""Banned Books from Anne Haight's list"", 'Category: Classics of Literature', 'Category: French Literature', 'Category: Historical Novels', 'Category: Novels', 'Harvard Classics', 'Movie Books']",text/html,https://www.gutenberg.org/ebooks/2610.html.images
86,A Connecticut Yankee in King Arthur's Court,"['Twain, Mark']",5205,['en'],"['Americans -- Great Britain -- Fiction', 'Arthurian romances -- Adaptations', 'Britons -- Fiction', 'Fantasy fiction', 'Kings and rulers -- Fiction', 'Knights and knighthood -- Fiction', 'Satire', 'Time travel -- Fiction']","['Arthurian Legends', 'Category: American Literature', 'Category: Classics of Literature', 'Category: Humour', 'Category: Novels', 'Category: Science-Fiction & Fantasy', 'Precursors of Science Fiction']",text/html,https://www.gutenberg.org/ebooks/86.html.images
31100,The Complete Project Gutenberg Works of Jane Austen: A Linked Index of all PG Editions of Jane Austen,"['Austen, Jane']",4388,['en'],"['England -- Social life and customs -- Fiction', 'Love stories, English']","['Category: British Literature', 'Category: Classics of Literature', 'Category: Novels', 'Category: Romance']",text/html,https://www.gutenberg.org/ebooks/31100.html.images
75201,A farewell to arms,"['Hemingway, Ernest']",4383,['en'],"['Man-woman relationships -- Fiction', 'Military deserters -- Fiction', 'Military hospitals -- Fiction', 'Soldiers -- United States -- Fiction', 'War stories', 'War wounds -- Fiction', 'World War, 1914-1918 -- Campaigns -- Italy -- Fiction', 'World War, 1914-1918 -- Fiction', 'World War, 1914-1918 -- Medical care -- Fiction']","['Category: American Literature', 'Category: Classics of Literature', 'Category: History - Warfare', 'Category: Novels', 'Category: Romance', 'Nobel Prizes in Literature']",text/html,https://www.gutenberg.org/ebooks/75201.html.images
42671,Pride and Prejudice,"['Austen, Jane']",4187,['en'],"['Courtship -- Fiction', 'Domestic fiction', 'England -- Fiction', 'Love stories', 'Sisters -- Fiction', 'Social classes -- Fiction', 'Young women -- Fiction']","['Best Books Ever Listings', 'Category: British Literature', 'Category: Classics of Literature', 'Category: Novels', 'Category: Romance']",text/html,https://www.gutenberg.org/ebooks/42671.html.images
3268,The Mysteries of Udolpho,"['Radcliffe, Ann Ward']",3836,['en'],"['Castles -- Fiction', 'Gothic fiction', 'Guardian and ward -- Fiction', 'Horror tales', 'Inheritance and succession -- Fiction', 'Italy -- Fiction', 'Orphans -- Fiction', 'Young women -- Fiction']","['Category: British Literature', 'Category: Classics of Literature', 'Category: Crime, Thrillers and Mystery', 'Category: Novels', 'Category: Romance', 'Gothic Fiction', 'Italy']",text/html,https://www.gutenberg.org/ebooks/3268.html.images
1112,Romeo and Juliet,"['Shakespeare, William']",3778,['en'],"['Conflict of generations -- Drama', 'Juliet (Fictitious character) -- Drama', 'Romeo (Fictitious character) -- Drama', 'Vendetta -- Drama', 'Verona (Italy) -- Drama', 'Youth -- Drama']","['Category: British Literature', 'Category: Classics of Literature', 'Category: Plays/Films/Dramas', 'Category: Romance', 'Italy']",text/html,https://www.gutenberg.org/ebooks/1112.html.images
2868,The Green Mummy,"['Hume, Fergus']",3735,['en'],"['Detective and mystery stories', 'Fiction']","['Category: Crime, Thrillers and Mystery', 'Category: Novels', 'Category: Romance']",text/html,https://www.gutenberg.org/ebooks/2868.html.images
72,"Thuvia, Maid of Mars","['Burroughs, Edgar Rice']",3448,['en'],"['Mars (Planet) -- Fiction', 'Martians -- Fiction', 'Science fiction']","['Category: Adventure', 'Category: American Literature', 'Category: Romance', 'Category: Science-Fiction & Fantasy', 'Science Fiction']",text/html,https://www.gutenberg.org/ebooks/72.html.images
12753,The Legends of King Arthur and His Knights,"['Malory, Thomas, Sir', 'Knowles, James, Sir']",3431,['en'],"['Arthur, King -- Legends', 'Arthurian romances -- Adaptations', 'Folklore -- England', 'Knights and knighthood -- Folklore']","['Arthurian Legends', 'Category: Adventure', 'Category: British Literature', 'Category: Mythology, Legends & Folklore', 'Fantasy']",text/html,https://www.gutenberg.org/ebooks/12753.html.images
601,The Monk: A Romance,"['Lewis, M. G. (Matthew Gregory)']",3384,['en'],"['Gothic fiction', 'Horror tales', 'Madrid (Spain) -- Fiction', 'Monks -- Fiction']","['Best Books Ever Listings', 'Category: British Literature', 'Category: Classics of Literature', 'Category: Novels', 'Category: Romance', 'Gothic Fiction']",text/html,https://www.gutenberg.org/ebooks/601.html.images
14244,The Romance of Tristan and Iseult,"['Bédier, Joseph']",3373,['en'],"['Arthurian romances -- Adaptations', 'Iseult (Legendary character) -- Romances -- Adaptations', 'Tristan (Legendary character) -- Romances -- Adaptations']","['Category: British Literature', 'Category: Historical Novels', 'Category: Mythology, Legends & Folklore', 'Category: Romance']",text/html,https://www.gutenberg.org/ebooks/14244.html.images
7326,The Yeoman Adventurer,"['Gough, George W.']",3225,['en'],"['Adventure stories', 'Farmers -- Fiction', 'Jacobite Rebellion, 1745-1746 -- Fiction', 'Staffordshire (England) -- Fiction']","['Category: Adventure', 'Category: British Literature', 'Category: Historical Novels', 'Category: Romance']",text/html,https://www.gutenberg.org/ebooks/7326.html.images
16433,The Gay Cockade,"['Bailey, Temple']",3059,['en'],['Short stories'],"['Category: American Literature', 'Category: Novels', 'Category: Romance']",text/html,https://www.gutenberg.org/ebooks/16433.html.images
66057,The tale of Genji,['Murasaki Shikibu'],3021,['en'],"['Aristocracy (Social class) -- Japan -- Fiction', 'Hikaru Genji (Fictitious character) -- Fiction', 'Japan -- Court and courtiers -- Fiction', 'Japan -- Social life and customs -- To 1600 -- Fiction', 'Japanese fiction -- To 1600 -- Translations into English', 'Man-woman relationships -- Fiction', 'Princes -- Japan -- Fiction', 'Psychological fiction', 'Romance fiction']",['Category: Novels'],text/html,https://www.gutenberg.org/ebooks/66057.html.images
2465,Carmen,"['Mérimée, Prosper']",2904,['en'],"['Carmen (Fictitious character) -- Fiction', 'Spain -- Social life and customs -- 19th century -- Fiction']","['Category: Crime, Thrillers and Mystery', 'Category: French Literature', 'Category: Novels', 'Category: Romance', 'Opera']",text/html,https://www.gutenberg.org/ebooks/2465.html.images
